model,epoch,loss,train_accuracy,val_accuracy
MLP(flatten pixels),1,3.4064297676086426,0.6037735849056604,0.3333333333333333
MLP(flatten pixels),2,1.4230769872665405,0.7924528301886793,0.08333333333333333
MLP(flatten pixels),3,0.8249419927597046,0.9811320754716981,0.16666666666666666
MLP(flatten pixels),4,0.28292515873908997,1.0,0.08333333333333333
MLP(flatten pixels),5,0.13540112972259521,1.0,0.08333333333333333
MLP(flatten pixels),6,0.10000228136777878,1.0,0.08333333333333333
MLP(flatten pixels),7,0.08611210435628891,1.0,0.08333333333333333
MLP(flatten pixels),8,0.07697036117315292,1.0,0.08333333333333333
MLP(flatten pixels),9,0.07042818516492844,1.0,0.08333333333333333
MLP(flatten pixels),10,0.06536418199539185,1.0,0.08333333333333333
MLP(flatten pixels),11,0.061362430453300476,1.0,0.08333333333333333
MLP(flatten pixels),12,0.05805503576993942,1.0,0.08333333333333333
MLP(flatten pixels),13,0.05530329793691635,1.0,0.08333333333333333
MLP(flatten pixels),14,0.052948661148548126,1.0,0.08333333333333333
MLP(flatten pixels),15,0.05089772865176201,1.0,0.08333333333333333
MLP(flatten pixels),16,0.04912006855010986,1.0,0.08333333333333333
MLP(flatten pixels),17,0.047568246722221375,1.0,0.08333333333333333
MLP(flatten pixels),18,0.04618513211607933,1.0,0.08333333333333333
MLP(flatten pixels),19,0.0449431911110878,1.0,0.08333333333333333
MLP(flatten pixels),20,0.04383418709039688,1.0,0.08333333333333333
MLP(flatten pixels),21,0.04283122718334198,1.0,0.08333333333333333
MLP(flatten pixels),22,0.041907377541065216,1.0,0.08333333333333333
MLP(flatten pixels),23,0.0410759337246418,1.0,0.08333333333333333
MLP(flatten pixels),24,0.04032155126333237,1.0,0.08333333333333333
MLP(flatten pixels),25,0.03960447013378143,1.0,0.08333333333333333
MLP(flatten pixels),26,0.0389619842171669,1.0,0.08333333333333333
MLP(flatten pixels),27,0.03834974020719528,1.0,0.08333333333333333
MLP(flatten pixels),28,0.03778214380145073,1.0,0.08333333333333333
MLP(flatten pixels),29,0.03725913166999817,1.0,0.08333333333333333
MLP(flatten pixels),30,0.036765746772289276,1.0,0.08333333333333333
